Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Air Force,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Akron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alabama,1603,1619,1497,1618,1570,1593,1617,1575,1600,1625,1624,1575,1600,1272,1312,1550
Appalachian State,11,0,1,2,1,0,0,0,1,0,0,0,0,0,0,2
Arizona,2,3,0,0,0,0,0,0,6,153,25,54,0,0,0,0
Arizona State,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Arkansas,22,37,0,1,0,1,0,0,0,0,0,0,0,0,0,0
Arkansas State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Army,1,2,2,0,0,0,0,0,0,0,3,14,3,1,0,25
Auburn,819,863,488,555,664,782,941,354,455,622,900,1250,1271,1402,1085,885
BYU,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ball State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baylor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boise State,49,36,1,2,0,0,0,4,3,8,29,40,124,15,72,242
Boston College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bowling Green,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buffalo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
California,0,5,0,18,0,0,0,0,0,0,0,0,0,0,0,0
Central Michigan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlotte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cincinnati,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clemson,1367,1466,1386,1535,1499,1537,1568,1106,1173,1295,1379,1406,1429,1485,1510,1329
Coastal Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colorado,72,78,70,84,3,0,0,0,0,0,0,0,0,0,0,0
Colorado State,1,0,0,0,0,1,2,4,4,0,0,0,0,0,0,0
Connecticut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Duke,0,0,3,8,93,0,0,0,0,0,0,0,0,0,0,0
East Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eastern Michigan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florida,681,179,134,312,345,382,23,2,1,0,0,0,0,0,0,0
Florida Atlantic,0,0,0,0,0,0,0,0,0,0,0,0,4,7,24,35
Florida International,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Florida State,1434,1044,926,985,104,55,0,0,0,0,0,0,0,0,0,0
Fresno State,0,0,0,0,0,0,0,0,0,0,0,0,4,70,5,35
Georgia,701,767,830,978,1089,1244,1380,1450,1463,1549,1560,1184,1221,1269,1416,1485
Georgia Southern,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia State,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia Tech,10,1,0,0,6,31,47,2,8,0,0,0,0,0,0,0
Hawai'i,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Houston,7,3,7,9,0,0,0,0,0,0,0,0,0,0,0,0
Illinois,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
