School,Mascot,Abbreviation,Conference,Division,Primary Color,Alt Color,Logo URL
Air Force,Falcons,AFA,Mountain West,Mountain,#004a7b,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/2005.png
Akron,Zips,AKR,Mid-American,East,#00285e,#84754e,http://a.espncdn.com/i/teamlogos/ncaa/500/2006.png
Alabama,Crimson Tide,ALA,SEC,West,#690014,#f1f2f3,http://a.espncdn.com/i/teamlogos/ncaa/500/333.png
Appalachian State,Mountaineers,APP,Sun Belt,,#000000,#ffcd00,http://a.espncdn.com/i/teamlogos/ncaa/500/2026.png
Arizona,Wildcats,ARIZ,Pac-12,South,#002449,#00205b,http://a.espncdn.com/i/teamlogos/ncaa/500/12.png
Arizona State,Sun Devils,ASU,Pac-12,South,#942139,#f1f2f3,http://a.espncdn.com/i/teamlogos/ncaa/500/9.png
Arkansas,Razorbacks,ARK,SEC,West,#9c1831,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/8.png
Arkansas State,Red Wolves,ARST,Sun Belt,,#e81018,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/2032.png
Army,Black Knights,ARMY,FBS Independents,,#ce9c00,#231f20,http://a.espncdn.com/i/teamlogos/ncaa/500/349.png
Auburn,Tigers,AUB,SEC,West,#03244d,#f1f2f3,http://a.espncdn.com/i/teamlogos/ncaa/500/2.png
Ball State,Cardinals,BALL,Mid-American,West,#DA0000,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/2050.png
Baylor,Bears,BAY,Big 12,,#004834,#ffb81c,http://a.espncdn.com/i/teamlogos/ncaa/500/239.png
Boise State,Broncos,BSU,Mountain West,Mountain,#09347A,#d8d9da,http://a.espncdn.com/i/teamlogos/ncaa/500/68.png
Boston College,Eagles,BC,ACC,Atlantic,#88001a,#a39161,http://a.espncdn.com/i/teamlogos/ncaa/500/103.png
Bowling Green,Falcons,BGSU,Mid-American,East,#2b1000,#492000,http://a.espncdn.com/i/teamlogos/ncaa/500/189.png
Buffalo,Bulls,BUFF,Mid-American,East,#041A9B,#ebebeb,http://a.espncdn.com/i/teamlogos/ncaa/500/2084.png
BYU,Cougars,BYU,FBS Independents,,#001E4C,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/252.png
California,Golden Bears,CAL,Pac-12,North,#031522,#ffc423,http://a.espncdn.com/i/teamlogos/ncaa/500/25.png
Central Michigan,Chippewas,CMU,Mid-American,West,#6a0032,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/2117.png
Charlotte,49ers,CHAR,Conference USA,East,#0C562D,#cfab7a,http://a.espncdn.com/i/teamlogos/ncaa/500/2429.png
Cincinnati,Bearcats,CIN,American Athletic,East,#000000,#717073,http://a.espncdn.com/i/teamlogos/ncaa/500/2132.png
Clemson,Tigers,CLEM,ACC,Atlantic,#F66733,#522d80,http://a.espncdn.com/i/teamlogos/ncaa/500/228.png
Coastal Carolina,Chanticleers,CCU,Sun Belt,,#007073,#876447,http://a.espncdn.com/i/teamlogos/ncaa/500/324.png
Colorado,Buffaloes,COLO,Pac-12,South,#d1c57e,#ffd200,http://a.espncdn.com/i/teamlogos/ncaa/500/38.png
Colorado State,Rams,CSU,Mountain West,Mountain,#004537,#ffc425,http://a.espncdn.com/i/teamlogos/ncaa/500/36.png
Connecticut,Huskies,CONN,American Athletic,East,#001d40,#f1f2f3,http://a.espncdn.com/i/teamlogos/ncaa/500/41.png
Duke,Blue Devils,DUKE,ACC,Coastal,#001A57,#f1f2f3,http://a.espncdn.com/i/teamlogos/ncaa/500/150.png
East Carolina,Pirates,ECU,American Athletic,East,#4b1869,#f0907b,http://a.espncdn.com/i/teamlogos/ncaa/500/151.png
Eastern Michigan,Eagles,EMU,Mid-American,West,#00331b,#f0f0f0,http://a.espncdn.com/i/teamlogos/ncaa/500/2199.png
Florida,Gators,FLA,SEC,East,#0021A5,#0021a5,http://a.espncdn.com/i/teamlogos/ncaa/500/57.png
Florida Atlantic,Owls,FAU,Conference USA,East,#004B85,#bb2f4c,http://a.espncdn.com/i/teamlogos/ncaa/500/2226.png
Florida International,Golden Panthers,FIU,Conference USA,East,#001538,#c5960c,http://a.espncdn.com/i/teamlogos/ncaa/500/2229.png
Florida State,Seminoles,FSU,ACC,Atlantic,#782F40,#ceb888,http://a.espncdn.com/i/teamlogos/ncaa/500/52.png
Fresno State,Bulldogs,FRES,Mountain West,West,#c41230,#231f20,http://a.espncdn.com/i/teamlogos/ncaa/500/278.png
Georgia,Bulldogs,UGA,SEC,East,#CC0000,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/61.png
Georgia Southern,Eagles,GASO,Sun Belt,,#003775,#f0f0f0,http://a.espncdn.com/i/teamlogos/ncaa/500/290.png
Georgia State,Panthers,GAST,Sun Belt,,#1e539a,#ebebeb,http://a.espncdn.com/i/teamlogos/ncaa/500/2247.png
Georgia Tech,Yellow Jackets,GT,ACC,Coastal,#00223e,#002c56,http://a.espncdn.com/i/teamlogos/ncaa/500/59.png
Hawai'i,Rainbow Warriors,HAW,Mountain West,West,#003420,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/62.png
Houston,Cougars,HOU,American Athletic,West,#C90822,#231f20,http://a.espncdn.com/i/teamlogos/ncaa/500/248.png
Illinois,Fighting Illini,ILL,Big Ten,West,#f77329,#fa6300,http://a.espncdn.com/i/teamlogos/ncaa/500/356.png
Indiana,Hoosiers,IND,Big Ten,East,#7D110C,#eeedeb,http://a.espncdn.com/i/teamlogos/ncaa/500/84.png
Iowa,Hawkeyes,IOWA,Big Ten,West,#000000,#ffe100,http://a.espncdn.com/i/teamlogos/ncaa/500/2294.png
Iowa State,Cyclones,ISU,Big 12,,#660015,#830b2c,http://a.espncdn.com/i/teamlogos/ncaa/500/66.png
Kansas,Jayhawks,KU,Big 12,,#0022B4,#e8000d,http://a.espncdn.com/i/teamlogos/ncaa/500/2305.png
Kansas State,Wildcats,KSU,Big 12,,#633194,#e7d2ad,http://a.espncdn.com/i/teamlogos/ncaa/500/2306.png
Kent State,Golden Flashes,KENT,Mid-American,East,#002445,#f0b510,http://a.espncdn.com/i/teamlogos/ncaa/500/2309.png
Kentucky,Wildcats,UK,SEC,East,#005DAA,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/96.png
Liberty,Flames,LIB,FBS Independents,,#071740,#a61f21,http://a.espncdn.com/i/teamlogos/ncaa/500/2335.png
Louisiana,Ragin' Cajuns,ULL,Sun Belt,,#ce2842,,http://a.espncdn.com/i/teamlogos/ncaa/500/309.png
Louisiana Monroe,Warhawks,ULM,Sun Belt,,#231F20,#b18445,http://a.espncdn.com/i/teamlogos/ncaa/500/2433.png
Louisiana Tech,Bulldogs,LT,Conference USA,West,#002d65,#d3313a,http://a.espncdn.com/i/teamlogos/ncaa/500/2348.png
Louisville,Cardinals,LOU,ACC,Atlantic,#ad000a,#cccccc,http://a.espncdn.com/i/teamlogos/ncaa/500/97.png
LSU,Tigers,LSU,SEC,West,#22005c,#fdd023,http://a.espncdn.com/i/teamlogos/ncaa/500/99.png
Marshall,Thundering Herd,MRSH,Conference USA,East,#186329,#be854c,http://a.espncdn.com/i/teamlogos/ncaa/500/276.png
Maryland,Terrapins,MD,Big Ten,East,#D5002B,#ffcd00,http://a.espncdn.com/i/teamlogos/ncaa/500/120.png
Memphis,Tigers,MEM,American Athletic,West,#002447,#231f20,http://a.espncdn.com/i/teamlogos/ncaa/500/235.png
Miami,Hurricanes,MIAMI,ACC,Coastal,#004325,#f0f0f0,http://a.espncdn.com/i/teamlogos/ncaa/500/2390.png
Miami (OH),RedHawks,M-OH,Mid-American,East,#a4000c,#f0f0f0,http://a.espncdn.com/i/teamlogos/ncaa/500/193.png
Michigan,Wolverines,MICH,Big Ten,East,#00274c,#00274c,http://a.espncdn.com/i/teamlogos/ncaa/500/130.png
Michigan State,Spartans,MSU,Big Ten,East,#18453B,#ffffff,http://a.espncdn.com/i/teamlogos/ncaa/500/127.png
Middle Tennessee,Blue Raiders,MTSU,Conference USA,East,#0079C2,#c3c5c8,http://a.espncdn.com/i/teamlogos/ncaa/500/2393.png
Minnesota,Golden Gophers,MINN,Big Ten,West,#7F011B,#7a0019,http://a.espncdn.com/i/teamlogos/ncaa/500/135.png
Mississippi State,Bulldogs,MSST,SEC,West,#762123,#c8c8c8,http://a.espncdn.com/i/teamlogos/ncaa/500/344.png
Missouri,Tigers,MIZ,SEC,East,#000000,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/142.png
Navy,Midshipmen,NAVY,American Athletic,West,#131630,#b6a77c,http://a.espncdn.com/i/teamlogos/ncaa/500/2426.png
NC State,Wolfpack,NCST,ACC,Atlantic,#EF1216,#231f20,http://a.espncdn.com/i/teamlogos/ncaa/500/152.png
Nebraska,Cornhuskers,NEB,Big Ten,West,#F20017,#f5f1e7,http://a.espncdn.com/i/teamlogos/ncaa/500/158.png
Nevada,Wolf Pack,NEV,Mountain West,West,#153E5F,#8e9295,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png
New Mexico,Lobos,UNM,Mountain West,Mountain,#000000,#231f20,http://a.espncdn.com/i/teamlogos/ncaa/500/167.png
New Mexico State,Aggies,NMSU,FBS Independents,,#891216,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/166.png
North Carolina,Tar Heels,UNC,ACC,Coastal,#99bfe5,#13294b,http://a.espncdn.com/i/teamlogos/ncaa/500/153.png
Northern Illinois,Huskies,NIU,Mid-American,West,#F1122C,#cc0000,http://a.espncdn.com/i/teamlogos/ncaa/500/2459.png
North Texas,Mean Green,UNT,Conference USA,West,#00853D,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/249.png
Northwestern,Wildcats,NW,Big Ten,West,#372286,#d6cac1,http://a.espncdn.com/i/teamlogos/ncaa/500/77.png
Notre Dame,Fighting Irish,ND,FBS Independents,,#00122b,#ae9142,http://a.espncdn.com/i/teamlogos/ncaa/500/87.png
Ohio,Bobcats,OHIO,Mid-American,East,#295A29,#e4bb85,http://a.espncdn.com/i/teamlogos/ncaa/500/195.png
Ohio State,Buckeyes,OSU,Big Ten,East,#DE3121,#666666,http://a.espncdn.com/i/teamlogos/ncaa/500/194.png
Oklahoma,Sooners,OKLA,Big 12,,#7b0000,#cccccc,http://a.espncdn.com/i/teamlogos/ncaa/500/201.png
Oklahoma State,Cowboys,OKST,Big 12,,#FF6500,#ff9900,http://a.espncdn.com/i/teamlogos/ncaa/500/197.png
